Designator,Mid X,Mid Y,Rotation,Layer
C1,31.4325,33.0175,270,top
C2,24.384,33.655,0,top
C3,21.2725,29.21,90,top
C4,19.685,29.21,90,top
C5,23.8125,28.575,0,top
D1,2.54,19.685,180,top
D2,24.638,35.56,0,top
J1,29.21,24.13,90,top
J2,5.08,24.63,270,top
J3,17.145,41.5925,180,bottom
J4,17.31,25.0825,0,top
L1,28.2575,35.56,180,top
R10,26.035,14.9225,270,top
R11,26.035,11.7475,270,top
R12,27.6225,30.4775,180,top
R3,2.54,18.0975,0,top
R4,5.3975,31.115,90,top
R5,3.4925,31.115,270,top
R6,18.0975,29.21,270,top
R7,2.54,16.51,0,top
R9,27.6225,28.8925,0,top
U5,28.2575,33.02,0,top
